Número Fistel;Número Estação;NumCnpjCpf;NumServico;Frequência (MHz);Banda_MHZ;Frequência Inicial;Frequência Final;FreqTxMHz;FreqRxMHz;Designação Emissão;Número Ato;Data Validade;Entidade;NumSetor;Tecnologia;Tipo de Tecnologia 5G;Latitude;Longitude;Latitude decimal;Longitude decimal;EnderecoEstacao;EndBairro;EndNumero;EndComplemento;Cep;ClassInfraFisica;Data Primeiro Licenciamento;Data Licenciamento;AnoMesLic;Situacao;Caráter;Empresa Estação;Faixa Estação;Subfaixa Estação;Geração;Código Nacional;Código IBGE;Município-UF;UF;Nome da UF
50409146285;691070121;02558157000162;010;;;;;788;733;10M0G7W;97432014;2029-12-08;TELEFONICA BRASIL S.A.;;LTE;;-9.38722;-35.83889;-9.38722;-35.83889;RUA FLORIANO PEIXOTO;ZONA RURAL;S/N;RBR-NÃO;57990000;Greenfield;12/02/2009;03/08/2023;2009-02;Licenciada;Primário;VIVO;700;Bl 6-7;4G;82;2705200;Messias - AL;AL;Alagoas
50409146285;691339112;02558157000162;010;;;;;1867.5;1772.5;200KG7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;4;GSM;;-9.633972;-35.737556;-9.633972;-35.737556;RUA CÔNEGO DE BARROS PINHO SN - FAROL;GRUTA DE LOURDES;S/N;AL081;57055640;;20/04/2009;22/07/2025;2009-04;Licenciada;Primário;VIVO;1800;SE10;2G;82;2704302;Maceió - AL;AL;Alagoas
50409307637;687547113;;010;;;;;885;840;200KG7W;50502011;2027-08-25;CLARO S.A.;;GSM;;-9.3903;-35.8408;-9.3903;-35.8408;R PROJETADA;CENTRO;S/N;LOTEAMENTO AURELINA VENTURA;57990000;;28/12/2005;22/02/2024;2005-12;Licenciada;Primário;CLARO;850;B;2G;82;2705200;Messias - AL;AL;Alagoas
50409146285;1005189339;02558157000162;010;;;;;788;733;10M0G7W;97432014;2029-12-08;TELEFONICA BRASIL S.A.;;LTE;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;Greenfield;02/11/2017;09/10/2023;2017-11;Licenciada;Primário;VIVO;700;Bl 6-7;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409146285;691339112;02558157000162;010;;;;;1865;1770;10M0G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;2;LTE;;-9.633972;-35.737556;-9.633972;-35.737556;RUA CÔNEGO DE BARROS PINHO SN - FAROL;GRUTA DE LOURDES;S/N;AL081;57055640;;20/04/2009;22/07/2025;2009-04;Licenciada;Primário;VIVO;1800;SE10;4G;82;2704302;Maceió - AL;AL;Alagoas
50409307637;687547113;;010;;;;;798;743;10M0G7W;97692014;2029-12-08;CLARO S.A.;;LTE;;-9.3903;-35.8408;-9.3903;-35.8408;R PROJETADA;CENTRO;S/N;LOTEAMENTO AURELINA VENTURA;57990000;;28/12/2005;22/02/2024;2005-12;Licenciada;Primário;CLARO;700;Bl 8-9;4G;82;2705200;Messias - AL;AL;Alagoas
50409146285;1005189339;;010;;;;;1862.5;1767.5;5M00G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;;LTE;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;;02/11/2017;11/11/2025;2017-11;Licenciada;Primário;VIVO;1800;SE9;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409146285;691339112;02558157000162;010;;;;;1862.5;1767.5;200KG7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;6;GSM;;-9.633972;-35.737556;-9.633972;-35.737556;RUA CÔNEGO DE BARROS PINHO SN - FAROL;GRUTA DE LOURDES;S/N;AL081;57055640;;20/04/2009;22/07/2025;2009-04;Licenciada;Primário;VIVO;1800;SE9;2G;82;2704302;Maceió - AL;AL;Alagoas
50409146285;691339112;02558157000162;010;;;;;1865;1770;10M0G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;5;LTE;;-9.633972;-35.737556;-9.633972;-35.737556;RUA CÔNEGO DE BARROS PINHO SN - FAROL;GRUTA DE LOURDES;S/N;AL081;57055640;;20/04/2009;22/07/2025;2009-04;Licenciada;Primário;VIVO;1800;SE10;4G;82;2704302;Maceió - AL;AL;Alagoas
50409428698;422386146;02421421000111;010;;;;;2625;2505;10M0G7W;152702024;2029-10-29;TIM S A;;LTE;;-9.640306;-35.707222;-9.640306;-35.707222;Avenida Comendador Gustavo Paiva;Mangabeiras;4295;-;57037532;Greenfield;28/07/1999;16/10/2025;1999-07;Licenciada;Secundário;TIM;2500;P;4G;82;2704302;Maceió - AL;AL;Alagoas
50409307637;695472895;40432544000147;010;;;;;892.75;847.75;2M50G7W;50502011;2027-08-25;CLARO S.A.;5;WCDMA;;-9.47549;-35.83303;-9.47549;-35.83303;ACESSO PELA RUA PROJETADA TREZENTOS - LT VILA RICA;MATA DO ROLO;S/N;;57100000;Greenfield;30/05/2011;15/12/2025;2011-05;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;691339880;;010;;;;;1842.5;1747.5;15M0G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;;LTE;;-9.495639;-35.813389;-9.495639;-35.813389;BR 104 - KM 9;CONJUNTO NAPOLEAO VIANA;S/N;AL010;57100000;;20/04/2009;26/08/2024;2009-04;Licenciada;Primário;VIVO;1800;NÃO IDENTIFICADA;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;695472895;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;3;WCDMA;;-9.47549;-35.83303;-9.47549;-35.83303;ACESSO PELA RUA PROJETADA TREZENTOS - LT VILA RICA;MATA DO ROLO;S/N;;57100000;Greenfield;30/05/2011;15/12/2025;2011-05;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;1002424434;40432544000147;010;;;;;1875;1780;200KG7W;50502011;2027-08-25;CLARO S.A.;;GSM;;-9.01906;-35.96328;-9.01906;-35.96328;FAZ GUZERAT - ACESSO: PRAÇA CORONEL CARLOS LYRA;ZONA RURAL;S/N;USINA SERRA GRANDE S/A;57860000;Greenfield;02/02/2016;06/12/2024;2016-02;Licenciada;Primário;CLARO;1800;SE13;2G;82;2708303;São José da Laje - AL;AL;Alagoas
50409146285;665643691;02558157000162;010;;;;;1823.75;1728.75;2M50G7W;56272015;2031-03-12;Telefonica Brasil S.a.;;LTE;;-9.65333;-35.70556;-9.65333;-35.70556;AVENIDA JULIO MARQUES LUZ;JATIUCA;S/N;;57035700;;21/06/2002;11/03/2025;2002-06;Licenciada;Primário;VIVO;1800;SE4;4G;82;2704302;Maceió - AL;AL;Alagoas
50409307637;695472895;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;1;WCDMA;;-9.47549;-35.83303;-9.47549;-35.83303;ACESSO PELA RUA PROJETADA TREZENTOS - LT VILA RICA;MATA DO ROLO;S/N;;57100000;Greenfield;30/05/2011;15/12/2025;2011-05;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;665643691;02558157000162;010;;;;;1821.25;1726.25;2M50G7W;56272015;2031-03-12;Telefonica Brasil S.a.;;LTE;;-9.65333;-35.70556;-9.65333;-35.70556;AVENIDA JULIO MARQUES LUZ;JATIUCA;S/N;;57035700;;21/06/2002;11/03/2025;2002-06;Licenciada;Primário;VIVO;1800;SE3;4G;82;2704302;Maceió - AL;AL;Alagoas
50409307637;686830490;40432544000147;010;;;;;885;840;5M00G7W;50502011;2026-06-01;CLARO S.A.;2;WCDMA;;-9.01598;-36.0522;-9.01598;-36.0522;RUA DUQUE DE CAXIAS;TIJUCA;S/N;;57860000;;12/05/2005;14/07/2023;2005-05;Licenciada;Primário;CLARO;850;B;3G;82;2708303;São José da Laje - AL;AL;Alagoas
50409146285;1014340877;;010;;;;;788;733;10M0G7W;51782021;2029-12-08;TELEFONICA BRASIL S.A.;;LTE;;-9.392944;-35.841447;-9.392944;-35.841447;RUA MIGUEL DO DUBEAUX LEÃO;ALTO DA SAUDADE;S/N;RBR-NÃO;57990000;;18/10/2022;03/09/2025;2022-10;Licenciada;Secundário;VIVO;700;Bl 6-7;4G;82;2705200;Messias - AL;AL;Alagoas
50409428698;282154;02421421000111;010;;;;;1831.25;1736.25;200KG7W;125002022;2028-11-29;TIM S A;1;GSM;;-9.634778;-35.717361;-9.634778;-35.717361;Rua Ana Lopes Cahet;Jacintinho;S/N;-;57042010;Greenfield;29/10/1999;18/07/2025;1999-10;Licenciada;Primário;TIM;1800;SE7;2G;82;2704302;Maceió - AL;AL;Alagoas
50409428698;1012640776;;010;;;;;874.5;829.5;10M0G7W;125002022;2028-11-29;TIM S A;;LTE;;-9.301514;-36.862333;-9.301514;-36.862333;Rua Olivia Oliveira Lima;Centro;S/N;-;57615000;;03/12/2021;25/03/2024;2021-12;Licenciada;Primário;TIM;850;A;4G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409428698;1011894235;;010;751,00;55,00;723;778;778;723;10M0G7W;97812014;2029-12-08;TIM S A;;LTE;;-9.156639;-37.360722;-9.156639;-37.360722;Rua Roque Neto, S/Nº;Centro;1;Luiz Gonzaga De Carvalho;57525000;;29/03/2021;12/11/2021;2021-03;Licenciada;Primário;TIM;700;Bl 4-5;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409146285;1005189339;02558157000162;010;;;;;2160;1970;5M00G7W;48412023;2038-04-30;TELEFONICA BRASIL S.A.;;WCDMA;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;Greenfield;02/11/2017;09/10/2023;2017-11;Licenciada;Primário;VIVO;2100;J;3G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409307637;1011539303;;010;;;;;760.5;705.5;5M00G7W;160882024;2027-10-15;CLARO S.A.;;LTE;;-9.16217;-37.35919;-9.16217;-37.35919;R CORONEL LUCENA;LUIZ GONZAGA DE CARVALHO;S/N;;57525000;;14/12/2020;06/12/2024;2020-12;Licenciada;Secundário;CLARO;700;NÃO IDENTIFICADA;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409307637;1011539303;;010;;;;;768;713;10M0G7W;128572024;2027-11-05;CLARO S.A.;;LTE;;-9.16217;-37.35919;-9.16217;-37.35919;R CORONEL LUCENA;LUIZ GONZAGA DE CARVALHO;S/N;;57525000;;14/12/2020;06/12/2024;2020-12;Licenciada;Secundário;CLARO;700;Bl 2-3;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409146285;690906757;;010;;;;;788;733;10M0G7W;97432014;2029-12-08;TELEFONICA BRASIL S.A.;;LTE;;-9.524722;-35.801111;-9.524722;-35.801111;RUA GERALDO ELIAS;VILA DESTILARIA;S/N;;57100000;;03/12/2008;25/06/2024;2008-12;Licenciada;Primário;VIVO;700;Bl 6-7;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;691351520;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;5;WCDMA;;-9.30727;-36.86446;-9.30727;-36.86446;PROPRIEDADE HELIO BARROS;CENTRO;S/N;RUA HÉLIO BARROS;57615000;Greenfield;01/06/2009;30/08/2022;2009-06;Licenciada;Primário;CLARO;850;B;3G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409307637;691351520;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;2;WCDMA;;-9.30727;-36.86446;-9.30727;-36.86446;PROPRIEDADE HELIO BARROS;CENTRO;S/N;RUA HÉLIO BARROS;57615000;Greenfield;01/06/2009;30/08/2022;2009-06;Licenciada;Primário;CLARO;850;B;3G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409146285;1005189339;;010;;;;;2150;1960;10M0G7W;166262022;2038-04-30;TELEFONICA BRASIL S.A.;;LTE;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;;02/11/2017;09/10/2023;2017-11;Licenciada;Primário;VIVO;2100;I;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409146285;1016453440;;010;;;;;788;733;10M0G7W;51782021;2029-12-08;Telefonica Brasil S.a.;;LTE;;-9.307281;-36.864417;-9.307281;-36.864417;RUA HELIO BARROS, SN;CENTRO;S/N;;57615000;;11/02/2025;11/02/2025;2025-02;Licenciada;Secundário;VIVO;700;Bl 6-7;4G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409307637;691351520;;010;;;;;768;713;10M0G7W;128572024;2027-11-05;CLARO S.A.;;LTE;;-9.30727;-36.86446;-9.30727;-36.86446;PROPRIEDADE HELIO BARROS;CENTRO;S/N;RUA HÉLIO BARROS;57615000;;01/06/2009;06/12/2024;2009-06;Licenciada;Secundário;CLARO;700;Bl 2-3;4G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409307637;686682343;40432544000147;010;;;;;892.75;847.75;2M50G7W;50502011;2027-08-25;CLARO S.A.;5;WCDMA;;-9.47793;-35.85325;-9.47793;-35.85325;R NOSSA SENHORA DE FÁTIMA;ZONA RURAL;S/N;FAZENDA CUCAÚ;57100000;Greenfield;29/03/2005;21/11/2023;2005-03;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;690906757;;010;;;;;2680;2560;20M0G7W;51782021;2029-12-08;TELEFONICA BRASIL S.A.;;LTE;;-9.524722;-35.801111;-9.524722;-35.801111;RUA GERALDO ELIAS;VILA DESTILARIA;S/N;;57100000;;03/12/2008;25/06/2024;2008-12;Licenciada;Secundário;VIVO;2500;X;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;691339910;;010;;;;;1842.5;1747.5;15M0G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;;LTE;;-9.48222;-35.85667;-9.48222;-35.85667;Rua 16 DE SETEMBRO;CONJUNTO MUTIRAO;51;AL012;57100000;;18/08/2008;11/11/2025;2008-08;Licenciada;Primário;VIVO;1800;NÃO IDENTIFICADA;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;686682343;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;1;WCDMA;;-9.47793;-35.85325;-9.47793;-35.85325;R NOSSA SENHORA DE FÁTIMA;ZONA RURAL;S/N;FAZENDA CUCAÚ;57100000;Greenfield;29/03/2005;21/11/2023;2005-03;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;686682343;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;1;WCDMA;;-9.47793;-35.85325;-9.47793;-35.85325;R NOSSA SENHORA DE FÁTIMA;ZONA RURAL;S/N;FAZENDA CUCAÚ;57100000;Greenfield;29/03/2005;21/11/2023;2005-03;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;691339910;;010;;;;;2680;2560;20M0G7W;59072012;2027-10-18;TELEFONICA BRASIL S.A.;;LTE;;-9.48222;-35.85667;-9.48222;-35.85667;Rua 16 DE SETEMBRO;CONJUNTO MUTIRAO;51;AL012;57100000;;18/08/2008;25/06/2024;2008-08;Licenciada;Primário;VIVO;2500;X;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;1002424434;40432544000147;010;;;;;892.75;847.75;2M50G7W;50502011;2027-08-25;CLARO S.A.;;WCDMA;;-9.01906;-35.96328;-9.01906;-35.96328;FAZ GUZERAT - ACESSO: PRAÇA CORONEL CARLOS LYRA;ZONA RURAL;S/N;USINA SERRA GRANDE S/A;57860000;Greenfield;02/02/2016;06/12/2024;2016-02;Licenciada;Primário;CLARO;850;B;3G;82;2708303;São José da Laje - AL;AL;Alagoas
50409307637;686682343;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;;WCDMA;;-9.47793;-35.85325;-9.47793;-35.85325;R NOSSA SENHORA DE FÁTIMA;ZONA RURAL;S/N;FAZENDA CUCAÚ;57100000;Greenfield;29/03/2005;21/11/2023;2005-03;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;690906757;;010;;;;;3450;3450;100MG7W;105802021;2041-12-08;TELEFONICA BRASIL S.A.;;NR;SA-NSA;-9.524722;-35.801111;-9.524722;-35.801111;RUA GERALDO ELIAS;VILA DESTILARIA;S/N;;57100000;;03/12/2008;25/06/2024;2008-12;Licenciada;Primário;VIVO;3500;3400-3500;5G;82;2707701;Rio Largo - AL;AL;Alagoas
50409428698;534230920;;010;;;;;3550;3550;100MG7W;105812021;2041-12-08;TIM S A;;NR;SA-NSA;-9.48225;-35.842778;-9.48225;-35.842778;Avenida Independente Julio Calheiros;Centro;177;-;57100000;;01/09/2000;30/06/2025;2000-09;Licenciada;Primário;TIM;3500;3500-3600;5G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;691339910;;010;;;;;1862.5;1767.5;5M00G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;;LTE;;-9.48222;-35.85667;-9.48222;-35.85667;Rua 16 DE SETEMBRO;CONJUNTO MUTIRAO;51;AL012;57100000;;18/08/2008;11/11/2025;2008-08;Licenciada;Primário;VIVO;1800;SE9;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;691339910;;010;;;;;788;733;10M0G7W;97432014;2029-12-08;TELEFONICA BRASIL S.A.;;LTE;;-9.48222;-35.85667;-9.48222;-35.85667;Rua 16 DE SETEMBRO;CONJUNTO MUTIRAO;51;AL012;57100000;;18/08/2008;25/06/2024;2008-08;Licenciada;Primário;VIVO;700;Bl 6-7;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;1005189339;;010;;;;;1842.5;1747.5;15M0G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;;LTE;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;;02/11/2017;11/11/2025;2017-11;Licenciada;Primário;VIVO;1800;NÃO IDENTIFICADA;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409307637;1011539303;;010;;;;;2140;1950;5M00G7W;34672011;2026-06-01;CLARO S.A.;;WCDMA;;-9.16217;-37.35919;-9.16217;-37.35919;R CORONEL LUCENA;LUIZ GONZAGA DE CARVALHO;S/N;;57525000;;14/12/2020;13/06/2023;2020-12;Licenciada;Primário;CLARO;2100;H;3G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409307637;1011539303;;010;;;;;2117.5;1927.5;5M00G7W;48372023;2026-06-01;CLARO S.A.;;WCDMA;;-9.16217;-37.35919;-9.16217;-37.35919;R CORONEL LUCENA;LUIZ GONZAGA DE CARVALHO;S/N;;57525000;;14/12/2020;13/06/2023;2020-12;Licenciada;Primário;CLARO;2100;F;3G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409307637;1011539303;;010;;;;;798;743;10M0G7W;97692014;2026-06-01;CLARO S.A.;;LTE;;-9.16217;-37.35919;-9.16217;-37.35919;R CORONEL LUCENA;LUIZ GONZAGA DE CARVALHO;S/N;;57525000;;14/12/2020;13/06/2023;2020-12;Licenciada;Primário;CLARO;700;Bl 8-9;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409428698;1008023954;02421421000111;010;;;;;2130;1940;10M0G7W;48352023;2038-04-30;TIM S A;;LTE;;-9.535067;-35.8045;-9.535067;-35.8045;Conjunto Guriata;Santos Dumont;6;Qd B10;57100000;Greenfield;14/01/2019;19/08/2024;2019-01;Licenciada;Primário;TIM;2100;G;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;686682343;40432544000147;010;;;;;2640;2520;20M0G7W;59592012;2027-10-18;CLARO S.A.;1;LTE;;-9.47793;-35.85325;-9.47793;-35.85325;R NOSSA SENHORA DE FÁTIMA;ZONA RURAL;S/N;FAZENDA CUCAÚ;57100000;Greenfield;29/03/2005;21/11/2023;2005-03;Licenciada;Primário;CLARO;2500;W;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;686682343;40432544000147;010;;;;;885;840;5M00G7W;50502011;2027-08-25;CLARO S.A.;3;WCDMA;;-9.47793;-35.85325;-9.47793;-35.85325;R NOSSA SENHORA DE FÁTIMA;ZONA RURAL;S/N;FAZENDA CUCAÚ;57100000;Greenfield;29/03/2005;21/11/2023;2005-03;Licenciada;Primário;CLARO;850;B;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409428698;534230920;;010;;;;;953.75;908.75;200KG7W;125002022;2028-11-29;TIM S A;;GSM;;-9.48225;-35.842778;-9.48225;-35.842778;Avenida Independente Julio Calheiros;Centro;177;-;57100000;;01/09/2000;30/06/2025;2000-09;Licenciada;Primário;TIM;900;SE2;2G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;695472895;40432544000147;010;;;;;798;743;10M0G7W;97692014;2029-12-08;CLARO S.A.;;LTE;;-9.47549;-35.83303;-9.47549;-35.83303;ACESSO PELA RUA PROJETADA TREZENTOS - LT VILA RICA;MATA DO ROLO;S/N;;57100000;Greenfield;30/05/2011;15/12/2025;2011-05;Licenciada;Primário;CLARO;700;Bl 8-9;4G;82;2707701;Rio Largo - AL;AL;Alagoas
50409307637;695472895;40432544000147;010;;;;;1875;1780;200KG7W;50502011;2027-08-25;CLARO S.A.;1;GSM;;-9.47549;-35.83303;-9.47549;-35.83303;ACESSO PELA RUA PROJETADA TREZENTOS - LT VILA RICA;MATA DO ROLO;S/N;;57100000;Greenfield;30/05/2011;15/12/2025;2011-05;Licenciada;Primário;CLARO;1800;SE13;2G;82;2707701;Rio Largo - AL;AL;Alagoas
50409428698;534230920;;010;;;;;874.5;829.5;5M00G7W;125002022;2028-11-29;TIM S A;;WCDMA;;-9.48225;-35.842778;-9.48225;-35.842778;Avenida Independente Julio Calheiros;Centro;177;-;57100000;;01/09/2000;30/06/2025;2000-09;Licenciada;Primário;TIM;850;A;3G;82;2707701;Rio Largo - AL;AL;Alagoas
50409146285;1005189339;;010;;;;;2680;2560;20M0G7W;59072012;2027-10-18;TELEFONICA BRASIL S.A.;;LTE;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;;02/11/2017;09/10/2023;2017-11;Licenciada;Primário;VIVO;2500;X;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409146285;1005189339;;010;;;;;1862.5;1767.5;5M00G7W;48422023;2032-12-22;TELEFONICA BRASIL S.A.;;LTE;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;;02/11/2017;11/11/2025;2017-11;Licenciada;Primário;VIVO;1800;SE9;4G;82;2706109;Ouro Branco - AL;AL;Alagoas
